Year,AK,AL,AR,AZ,CA,CO,CT,DE,FL,GA,IA,ID,IL,IN,KS,KY,LA,MA,MD,ME,MI,MN,MO,MS,MT,NC,ND,NE,NH,NJ,NM,NV,NY,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VA,VT,WA,WI,WV,WY
2005,40.27282609,74.65559701,73.31466667,76.59333333,69.31048851,59.63373016,59.82083333,65.34722222,80.52325871,74.53390985,60.1766835,56.34867424,64.33447712,63.09039855,68.105,67.63625,78.42239583,58.52440476,65.35069444,53.14114583,56.54939759,54.46350575,66.98152174,75.67256098,55.21309524,69.81391667,53.61462264,63.62365591,55.56416667,63.50595238,69.27727273,63.64803922,57.52755376,61.73854167,73.17824675,59.66828704,60.260199,59.305,74.15452899,59.25923077,69.70429825,78.24891732,59.93448276,67.0697601,53.8125,58.06666667,55.87638889,63.96333333,56.77101449
2006,36.98514493,76.4289801,73.53644444,77.11333333,69.51508621,59.56388889,61.16979167,67.29444444,82.07077114,76.33616352,60.85488215,57.18314394,64.41601307,63.39637681,70.12603175,67.60791667,78.88424479,59.92738095,67.03993056,54.759375,57.03634538,55.59616858,67.86217391,76.76615854,56.62395833,70.82875,55.57311321,64.53306452,56.74416667,65.05396825,69.84545455,64.60196078,58.34731183,62.47026515,75.35205628,59.9849537,61.23544776,60.945,75.40706522,60.16974359,70.12991228,79.88536745,60.18218391,68.2834596,54.60595238,58.32457265,56.37939815,64.41075758,57.30615942
2007,38.28152174,76.64813433,72.55822222,77.13722222,70.32011494,59.06283069,59.85416667,66.2,82.0119403,76.60330189,59.08846801,58.02159091,64.50915033,63.95253623,66.83,69.18201389,77.78320313,58.60416667,66.22777778,52.53802083,56.64206827,53.84971264,66.7926087,76.62398374,56.31592262,71.87183333,53.28490566,62.165681,54.85416667,63.51904762,68.92777778,65.76911765,57.07607527,62.56268939,71.16580087,59.52824074,60.34029851,59.885,76.3692029,58.05294872,71.68201754,76.17004593,61.36925287,68.55643939,52.5702381,57.21346154,55.44976852,65.07166667,57.22862319
2008,35.78514493,74.57189055,70.76822222,76.32,70.37744253,58.05925926,59.95208333,66.39444444,81.0141791,74.8995283,56.19705387,55.53712121,61.44681373,61.52663043,65.75396825,66.59513889,77.39726563,58.83035714,65.88854167,53.1296875,54.56797189,51.15842912,63.86942029,74.74684959,53.90133929,70.195,51.25455975,60.17455197,55.36,63.87738095,68.9040404,64.63333333,57.05107527,60.90350379,72.11525974,58.71111111,59.62674129,60.31,74.57753623,55.51423077,68.91815789,78.44265092,59.18649425,67.30561869,53.41369048,56.30619658,52.80740741,63.34954545,54.49275362
2009,37.85036232,73.54353234,70.08322222,77.01444444,70.15,57.85304233,58.60416667,64.575,81.16579602,73.85969602,56.90143098,55.49166667,61.47745098,61.20724638,65.77444444,65.60083333,77.05494792,57.56130952,64.39375,52.18802083,54.20281124,51.45124521,64.08615942,74.34105691,53.29925595,68.9635,49.28034591,60.00376344,54.42916667,62.12380952,69.43914141,64.24019608,56.07002688,60.55464015,71.48311688,59.19351852,58.69726368,58.73833333,73.47210145,54.79487179,67.89684211,78.11650262,59.41063218,65.98106061,52.43214286,57.08910256,53.10752315,62.61424242,54.38949275
2010,38.07681159,74.50572139,72.31088889,75.71666667,68.1058908,59.04444444,61.31979167,66.30277778,79.70223881,74.45807128,58.38080808,55.6282197,63.48464052,63.18958333,67.21,66.93229167,77.24739583,60.31130952,66.12708333,55.3046875,57.28433735,53.94482759,65.60652174,75.19014228,53.25074405,69.74475,51.35062893,61.45510753,57.1725,64.68531746,68.92272727,63.05833333,58.02822581,61.83106061,72.07727273,58.27476852,60.70087065,61.31833333,74.22518116,56.12474359,68.97807018,77.14484908,58.9183908,67.42758838,54.50119048,56.98461538,56.12962963,63.24060606,55.59094203
2011,37.65724638,75.78569652,73.02111111,76.38944444,68.30028736,58.54391534,60.82916667,67.21388889,82.36902985,76.47279874,58.70260943,54.79981061,63.29330065,62.95398551,68.15269841,67.39125,78.92070313,59.76130952,66.671875,53.9484375,55.69447791,53.21465517,66.17927536,76.03689024,53.30014881,71.31333333,51.23710692,61.47177419,56.23333333,64.64246032,70.12550505,63.29362745,57.96048387,61.81420455,74.84307359,57.65439815,60.62300995,60.93166667,75.99456522,56.11461538,69.78894737,80.59586614,58.32097701,68.27272727,54.2422619,55.69294872,54.35613426,64.38454545,54.58804348
2012,35.42934783,76.35671642,75.15688889,78.165,70.60718391,61.87156085,62.28333333,68.30555556,82.06106965,76.70372117,63.63627946,58.24829545,67.21364379,66.23713768,71.96960317,69.85472222,79.24427083,61.3547619,67.90555556,55.246875,59.12399598,57.44099617,70.25557971,77.04247967,57.10267857,71.36141667,56.09072327,67.19587814,58.01916667,65.63452381,71.67121212,66.57990196,59.93293011,64.59488636,76.13495671,59.43217593,62.44228856,62.09666667,75.77246377,62.32025641,71.69596491,80.31466535,62.28132184,69.00959596,56.17321429,57.32457265,58.63831019,66.07833333,59.38876812
2013,38.95543478,73.1039801,70.21244444,76.04444444,71.24612069,57.97698413,59.65625,64.93888889,81.29266169,73.57285115,56.94377104,56.44393939,61.42026144,61.20235507,66.09666667,65.35263889,76.41901042,58.9952381,64.46354167,53.1703125,54.22921687,50.5887931,64.04797101,73.76666667,54.26428571,68.4255,49.5245283,60.96415771,55.68666667,62.74444444,68.51414141,64.54460784,56.64126344,60.4092803,70.85411255,59.54467593,59.15037313,59.89,72.9442029,55.02269231,67.24184211,77.33546588,58.68591954,65.78137626,53.23035714,57.39423077,52.334375,62.35954545,55.16847826
2014,41.02246377,73.53146766,69.18555556,77.85444444,72.72442529,58.73941799,58.703125,64.275,80.62039801,74.20539832,55.68762626,57.62594697,59.8751634,59.61077899,66.22396825,65.13340278,75.44557292,58.08214286,63.78263889,52.5421875,52.1873494,49.87337165,63.4676087,73.45945122,53.73020833,68.80616667,49.85597484,60.92903226,54.41416667,61.91388889,69.62929293,66.85441176,55.56653226,59.22272727,71.13311688,61.25787037,57.99390547,59.275,73.50652174,55.26589744,67.36570175,76.71853675,61.17155172,65.63251263,52.17916667,58.81367521,50.69722222,62.00318182,55.42608696
2015,40.66050725,75.24937811,71.81544444,76.85666667,72.1862069,59.79616402,60.50104167,66.05833333,82.69825871,75.56850105,59.48249158,59.20662879,63.20759804,62.6442029,68.56007937,67.25284722,78.2109375,59.3827381,65.70104167,53.0546875,55.75220884,54.89070881,66.17782609,75.94623984,57.30059524,70.59016667,55.01540881,63.44426523,55.85833333,64.0765873,69.07121212,66.18970588,57.47379032,61.78863636,72.53257576,62.57199074,60.38868159,60.28,75.17047101,59.35551282,69.54824561,77.14035433,61.51206897,67.46919192,53.67738095,60.71175214,55.30694444,64.44272727,57.75434783
2016,42.41086957,77.13569652,73.47855556,77.88555556,70.93563218,60.35013228,62.25104167,67.02777778,82.44589552,77.32631027,60.63274411,57.5905303,64.79566993,64.39402174,69.85230159,68.86354167,78.86380208,60.94821429,66.67534722,55.0203125,57.52118474,55.39482759,67.95724638,77.31504065,56.53139881,71.2745,55.30518868,64.44041219,57.61833333,65.35277778,70.50075758,65.52843137,59.31317204,63.80454545,74.67878788,60.38680556,61.97736318,61.98,76.04076087,59.95320513,71.50842105,78.91230315,61.11494253,68.1209596,55.24940476,58.81452991,56.23923611,65.69015152,57.83949275
